model_name,timestamp,features,metric_name,metric_value,dataset_version
xgb_v0,2026-07-06T15:14:33.967414,actual_rainfall_in_mm;normal_rainfall_in_mm;no_of_landslides;population,train_accuracy,1.0,v1_real_kerala_2018_district_level
xgb_v1,2026-07-06T15:26:49.853371,actual_rainfall_in_mm;normal_rainfall_in_mm;no_of_landslides;population;rainfall_deviation_from_normal;rainfall_pct_of_normal;hospitals_per_100k,loocv_accuracy,0.3846,v2_real_kerala_engineered
xgb_v1,2026-07-06T15:33:48.168343,actual_rainfall_in_mm;normal_rainfall_in_mm;no_of_landslides;population;rainfall_deviation_from_normal;rainfall_pct_of_normal;hospitals_per_100k,loocv_accuracy,0.3846,v2_real_kerala_engineered
xgb_v1,2026-07-06T15:53:26.676594,actual_rainfall_in_mm;normal_rainfall_in_mm;no_of_landslides;population;rainfall_deviation_from_normal;rainfall_pct_of_normal;hospitals_per_100k,loocv_accuracy,0.3846,v2_real_kerala_engineered
xgb_v1,2026-07-06T21:22:36.777949,actual_rainfall_in_mm;normal_rainfall_in_mm;no_of_landslides;population;rainfall_deviation_from_normal;rainfall_pct_of_normal;hospitals_per_100k,loocv_accuracy,0.3846,v2_real_kerala_engineered
